"","x","y"
"1",592.981284484267,575.997060164809
"2",726.481121499091,136.215587612242
"3",370.422003557906,939.733980456367
"4",514.923830050975,176.284727174789
"5",377.663215855137,819.705225992948
"6",418.337325798348,12.1183777227998
"7",10.6578450649977,640.062320511788
"8",532.295242184773,267.028672154993
"9",432.160616386682,569.497750839218
"10",93.6815198510885,965.302532305941
"11",555.779913673177,198.422943707556
"12",590.22848890163,692.853478481993
"13",67.1411433722824,836.020115064457
"14",47.5478533189744,903.904337901622
"15",156.202515820041,964.530541794375
"16",446.427763439715,657.691930420697
"17",171.443687053397,548.912715166807
"18",966.5342932567,885.026189265773
"19",310.666429810226,448.373394785449
"20",614.466395694762,743.338905740529
"21",431.060787057504,414.32681446895
"22",285.527091473341,680.755464127287
"23",342.151347082108,925.978435203433
"24",386.627627536654,633.598030079156
"25",967.527478933334,658.990583848208
"26",322.026727488264,478.586637182161
"27",653.229454765096,818.830333417282
"28",283.303499687463,963.946463307366
"29",787.427919218317,923.692881595343
"30",595.920635154471,164.384926436469
"31",58.5964624769986,351.493310648948
"32",509.899860015139,617.119507165626
"33",465.792429633439,580.161700956523
"34",469.359093811363,941.805206006393
"35",359.745372086763,210.064004175365
"36",713.410353055224,38.8290430419147
"37",116.31548171863,615.863325772807
"38",783.992620650679,514.619620982558
"39",642.14071049355,919.971977127716
"40",805.10091339238,455.438307719305
"41",641.197858378291,847.027293173596
"42",328.491645399481,870.639703935012
"43",635.690954513848,683.007713640109
"44",928.519157925621,781.443397048861
"45",575.242204358801,251.323619391769
"46",366.683853557333,46.4566061273217
"47",436.607220442966,563.257869100198
"48",855.921937851235,293.737591709942
"49",627.995573682711,350.965408142656
"50",793.775643222034,79.1809295769781
"51",725.164833245799,825.30228397809
"52",585.044720908627,264.213888440281
"53",32.7716474421322,263.846280984581
"54",332.994680386037,90.3810160234571
"55",996.716661378741,460.844626883045
"56",548.273369902745,691.576047567651
"57",575.83293877542,848.960422212258
"58",456.315206596628,246.114816982299
"59",96.5785654261708,650.921093765646
"60",805.540175177157,680.195312481374
"61",0.925300642848015,104.534551268443
"62",466.744047123939,111.985698575154
"63",173.260872950777,215.654772007838
"64",259.222564753145,130.11637981981
"65",919.282081536949,666.333632310852
"66",231.929584406316,487.774689681828
"67",52.5656715035439,353.303740266711
"68",304.392624879256,947.010757401586
"69",11.725815013051,111.948837991804
"70",300.707698334008,563.86977690272
"71",877.583946101367,848.325590370223
"72",665.278727654368,511.7678840179
"73",453.764834674075,666.546565946192
"74",53.3223319798708,26.5097129158676
"75",630.90680912137,106.460408773273
"76",442.185188410804,695.441853720695
"77",267.346486914903,273.344663903117
"78",983.77441894263,744.969523977488
"79",95.1241531874985,745.395350269973
"80",785.969123477116,166.732623009011
"81",119.852181756869,979.854324366897
"82",881.215467117727,594.758708029985
"83",131.098066922277,688.218938419595
"84",400.337876286358,171.858151676133
"85",86.6140136495233,41.6831504553556
"86",374.79979917407,189.849891234189
"87",684.786017052829,761.421832256019
"88",734.772675670683,559.473332250491
"89",770.947736455128,505.514366552234
"90",579.985349904746,972.805295139551
"91",511.098984628916,80.6008174549788
"92",852.983707329258,557.244343217462
"93",629.821156151593,896.00716996938
"94",579.005907988176,107.897114939988
"95",740.249289432541,449.281237320974
"96",387.149763060734,308.811134658754
"97",993.534457171336,232.88262845017
"98",398.089481052011,828.066519694403
"99",975.00103386119,112.878470681608
"100",824.482200900093,884.002247126773
