time			temp
0:1:0			10.6
0:1:10			9
0:1:20			10.2
0:1:30			9.5
0:1:40			9.5
0:1:50			10.5
0:2:0			9.1
0:2:10			8.9
0:2:20			9.4
0:2:30			9.3
0:2:40			9
0:2:50			8.6
0:3:0			8.5
0:3:10			9
0:3:20			8.5
0:3:30			7.7
0:3:40			8.3
0:3:50			8.2
0:4:0			7.2
0:4:10			7.9
0:4:20			7.6
0:4:30			7.8
0:4:40			8.5
0:4:50			9.3
0:5:0			8.5
0:5:10			7.8
0:5:20			8.3
0:5:30			9
0:5:40			9.4
0:5:50			10.3
0:6:0			9.8
0:6:10			10
0:6:20			9.5
0:6:30			11
0:6:40			11.2
0:6:50			11.8
0:7:0			12.1
0:7:10			12.2
0:7:20			11.9
0:7:30			12.1
0:7:40			12.2
0:7:50			13.1
0:8:0			14.6
0:8:10			14.9
0:8:20			13.6
0:8:30			14
0:8:40			15.5
0:8:50			16.1
0:9:0			16.5
0:9:10			15.5
0:9:20			16.4
0:9:30			16.6
0:9:40			17.6
0:9:50			17.2
0:10:0			17.7
0:10:10			17.1
0:10:20			18.1
0:10:30			18.2
0:10:40			17.9
0:10:50			18.3
0:11:0			19
0:11:10			19.4
0:11:20			19.3
0:11:30			20.2
0:11:40			22
0:11:50			21.1
0:12:0			20.7
0:12:10			20.8
0:12:20			22.2
0:12:30			21.9
0:12:40			22
0:12:50			22.5
0:13:0			23
0:13:10			22.5
0:13:20			23.6
0:13:30			23.8
0:13:40			22.4
0:13:50			23
0:14:0			22.7
0:14:10			23
0:14:20			23.8
0:14:30			23.5
0:14:40			23.4
0:14:50			23.9
0:15:0			23.6
0:15:10			23.9
0:15:20			24.5
0:15:30			23.4
0:15:40			24.2
0:15:50			24.8
0:16:0			23.5
0:16:10			24.5
0:16:20			23.9
0:16:30			23.7
0:16:40			23.4
0:16:50			22.4
0:17:0			22.5
0:17:10			22.4
0:17:20			22.6
0:17:30			22.5
0:17:40			21.7
0:17:50			22
0:18:0			21.6
0:18:10			21.7
0:18:20			21.3
0:18:30			20
0:18:40			21.1
0:18:50			20
0:19:0			20.8
0:19:10			19.8
0:19:20			19.9
0:19:30			19.2
0:19:40			18.7
0:19:50			17
0:20:0			18.7
0:20:10			18.8
0:20:20			17.5
0:20:30			18.2
0:20:40			16.9
0:20:50			17.7
0:21:0			16.9
0:21:10			15.7
0:21:20			16.9
0:21:30			16.8
0:21:40			15.4
0:21:50			15
0:22:0			13.7
0:22:10			14.2
0:22:20			14.8
0:22:30			14.6
0:22:40			14
0:22:50			13
0:23:0			13.4
0:23:10			14
0:23:20			13
0:23:30			13.4
0:23:40			12.4
0:23:50			12.7
1:0:0			12.1
1:0:10			11.4
1:0:20			11.5
1:0:30			11.2
1:0:40			11.2
1:0:50			10.5
1:1:0			10.1
1:1:10			10.2
1:1:20			9.6
1:1:30			9.6
1:1:40			9.2
1:1:50			8.6
1:2:0			8.7
1:2:10			8.8
1:2:20			8.2
1:2:30			8.4
1:2:40			9.4
1:2:50			9
1:3:0			8.5
1:3:10			9.7
1:3:20			8.8
1:3:30			9.9
1:3:40			8.6
1:3:50			8
1:4:0			8.3
1:4:10			8.6
1:4:20			8.6
1:4:30			8.5
1:4:40			8.9
1:4:50			8.4
1:5:0			9.3
1:5:10			8.7
1:5:20			8.9
1:5:30			9.6
1:5:40			8.9
1:5:50			8.3
1:6:0			8.5
1:6:10			9.1
1:6:20			9.7
1:6:30			9.1
1:6:40			9.1
1:6:50			10.2
1:7:0			10.4
1:7:10			11.7
1:7:20			10.9
1:7:30			10.6
1:7:40			10.6
1:7:50			11.1
1:8:0			11.3
1:8:10			11.7
1:8:20			13
1:8:30			11.6
1:8:40			12.5
1:8:50			13.2
1:9:0			13.4
1:9:10			13.4
1:9:20			13.9
1:9:30			15.1
1:9:40			14.4
1:9:50			15.7
1:10:0			15.3
1:10:10			16.5
1:10:20			15.2
1:10:30			16.5
1:10:40			16.4
