time			temp
0:4:0			13.1
0:4:10			13.6
0:4:20			13.7
0:4:30			15.1
0:4:40			15
0:4:50			15
0:5:0			16.2
0:5:10			15.8
0:5:20			14.8
0:5:30			16.8
0:5:40			16.6
0:5:50			16.9
0:6:0			17
0:6:10			17.7
0:6:20			17.6
0:6:30			19.4
0:6:40			18.8
0:6:50			19.3
0:7:0			18.1
0:7:10			19.2
0:7:20			19.3
0:7:30			19.4
0:7:40			20.8
0:7:50			20.5
0:8:0			21.2
0:8:10			20.7
0:8:20			20.8
0:8:30			20.7
0:8:40			22.1
0:8:50			21.9
0:9:0			22
0:9:10			23.2
0:9:20			23.2
0:9:30			22.9
0:9:40			23.4
0:9:50			22.1
0:10:0			23.9
0:10:10			24.6
0:10:20			24.7
0:10:30			25.1
0:10:40			25.8
0:10:50			26.2
0:11:0			26.2
0:11:10			26.1
0:11:20			26.4
0:11:30			27.5
0:11:40			27.5
0:11:50			27.6
0:12:0			27.3
0:12:10			27.2
0:12:20			27.9
0:12:30			27.9
0:12:40			28.1
0:12:50			27.4
0:13:0			26.7
0:13:10			27.5
0:13:20			28.4
0:13:30			29.1
0:13:40			28.5
0:13:50			28.5
0:14:0			27
0:14:10			28.6
0:14:20			27.8
0:14:30			27.9
0:14:40			28.3
0:14:50			27.6
0:15:0			28.2
0:15:10			27.8
0:15:20			27.2
0:15:30			27.8
0:15:40			27.9
0:15:50			27
0:16:0			27.8
0:16:10			27.7
0:16:20			27.1
0:16:30			27.7
0:16:40			27.4
0:16:50			27.5
0:17:0			26.2
0:17:10			25.1
0:17:20			25.9
0:17:30			24.9
0:17:40			25
0:17:50			24
0:18:0			24.4
0:18:10			24.8
0:18:20			24.5
0:18:30			24.3
0:18:40			23.2
0:18:50			23.1
0:19:0			22.7
0:19:10			22.7
0:19:20			22.9
0:19:30			22.1
0:19:40			20.8
0:19:50			21.3
0:20:0			19.5
0:20:10			20.3
0:20:20			20
0:20:30			18.8
0:20:40			19.4
0:20:50			18.9
0:21:0			19.4
0:21:10			18.6
0:21:20			18.2
0:21:30			18.5
0:21:40			18
0:21:50			17.8
0:22:0			17.1
0:22:10			17.5
0:22:20			16.3
0:22:30			16.2
0:22:40			15.8
0:22:50			14.7
0:23:0			15.7
0:23:10			15.4
0:23:20			15.5
0:23:30			14.7
0:23:40			14.3
0:23:50			13.3
1:0:0			13.7
1:0:10			13.4
1:0:20			14.3
1:0:30			12.8
1:0:40			12.3
1:0:50			13.9
1:1:0			13.8
1:1:10			14.4
1:1:20			14.3
1:1:30			14.3
1:1:40			14.3
1:1:50			14
1:2:0			13.5
1:2:10			13.9
1:2:20			12.6
1:2:30			13.1
1:2:40			13.6
1:2:50			12.9
1:3:0			13.1
1:3:10			13
1:3:20			12.6
1:3:30			13.1
1:3:40			13
1:3:50			12.8
1:4:0			12.9
1:4:10			15.1
1:4:20			14
1:4:30			14.2
