time			temp
0:15:20			23.8
0:15:30			24.4
0:15:40			23.9
0:15:50			24
0:16:0			23.8
0:16:10			23.6
0:16:20			22.9
0:16:30			24.7
0:16:40			24.4
0:16:50			24
0:17:0			22.8
0:17:10			24.5
0:17:20			23.2
0:17:30			24.3
0:17:40			24.6
0:17:50			25.5
0:18:0			24
0:18:10			23.3
0:18:20			24.4
0:18:30			23.2
0:18:40			23.7
0:18:50			23.5
0:19:0			24.1
0:19:10			23.1
0:19:20			22.4
0:19:30			22.8
0:19:40			22.8
0:19:50			20.8
0:20:0			21.4
0:20:10			20.6
0:20:20			19.4
0:20:30			18.4
0:20:40			19.2
0:20:50			17.5
0:21:0			16.9
0:21:10			17.6
0:21:20			17
0:21:30			16.3
0:21:40			16.5
0:21:50			17
0:22:0			15.9
0:22:10			15.9
0:22:20			15.7
0:22:30			14.5
0:22:40			14.3
0:22:50			14.9
0:23:0			14.2
0:23:10			14.6
0:23:20			13.6
0:23:30			14
0:23:40			13.9
0:23:50			14
1:0:0			12.6
1:0:10			12.3
1:0:20			12.2
1:0:30			12.9
1:0:40			12.7
1:0:50			11.9
1:1:0			12.4
1:1:10			12.2
1:1:20			10.5
1:1:30			11.6
1:1:40			10.7
1:1:50			11.4
1:2:0			10.7
1:2:10			10.2
1:2:20			9.6
1:2:30			10.2
1:2:40			10.6
1:2:50			11
1:3:0			11.8
1:3:10			10.7
1:3:20			10.2
1:3:30			10.2
1:3:40			9.8
1:3:50			9.7
1:4:0			9.6
1:4:10			10.3
1:4:20			9.9
1:4:30			9.4
1:4:40			10.3
1:4:50			9.4
1:5:0			9
1:5:10			8.7
1:5:20			9
1:5:30			8.1
1:5:40			8.9
1:5:50			9.2
1:6:0			8.7
1:6:10			9.9
1:6:20			9.6
1:6:30			10.8
1:6:40			10.5
1:6:50			9.8
1:7:0			11.2
1:7:10			10.1
1:7:20			11.1
1:7:30			11.2
1:7:40			11.8
1:7:50			11.3
1:8:0			12.5
1:8:10			12.7
1:8:20			11.8
1:8:30			13.4
1:8:40			13.4
1:8:50			14.3
1:9:0			14.9
1:9:10			15.4
1:9:20			14.2
1:9:30			15.9
1:9:40			14.7
1:9:50			14.8
1:10:0			16.3
1:10:10			15.5
1:10:20			16.4
1:10:30			17
1:10:40			16.9
1:10:50			17.8
1:11:0			16.5
1:11:10			17.4
1:11:20			17.7
1:11:30			17.5
1:11:40			18.7
1:11:50			19.1
1:12:0			18.9
1:12:10			20.4
1:12:20			19.5
1:12:30			19.3
1:12:40			19.7
1:12:50			20.4
1:13:0			18.7
1:13:10			21.1
1:13:20			19.4
1:13:30			20.7
1:13:40			21
1:13:50			20.6
1:14:0			21.8
1:14:10			21.9
1:14:20			21.9
1:14:30			20.7
1:14:40			21
1:14:50			21.7
1:15:0			23
1:15:10			21.7
1:15:20			21.8
1:15:30			21.9
1:15:40			22
1:15:50			22.7
1:16:0			22.8
1:16:10			22.4
1:16:20			22
1:16:30			22
1:16:40			21.7
1:16:50			22.3
1:17:0			22.2
1:17:10			22.9
1:17:20			21.7
1:17:30			21.2
1:17:40			21.7
1:17:50			21.4
1:18:0			21.9
1:18:10			21.3
1:18:20			20.1
1:18:30			19.8
1:18:40			19.5
1:18:50			18.4
1:19:0			20.5
1:19:10			19
1:19:20			19.1
1:19:30			18.8
1:19:40			19
1:19:50			18.1
1:20:0			17.8
1:20:10			18.3
1:20:20			17.1
1:20:30			16.8
1:20:40			17
1:20:50			17
1:21:0			16.7
1:21:10			16.7
1:21:20			16.1
1:21:30			15.2
1:21:40			15.1
1:21:50			14.7
1:22:0			14.7
1:22:10			14.6
1:22:20			14.2
1:22:30			14.1
1:22:40			12.7
1:22:50			12.8
1:23:0			11.1
1:23:10			11.6
1:23:20			12.5
1:23:30			12.3
1:23:40			12.1
1:23:50			12.4
2:0:0			12.1
2:0:10			11.4
2:0:20			10.6
2:0:30			9.9
2:0:40			9.4
2:0:50			11.6
2:1:0			10
2:1:10			9.3
2:1:20			8
2:1:30			9.1
2:1:40			8.2
2:1:50			7.9
2:2:0			7.9
2:2:10			8.3
2:2:20			6.6
2:2:30			7.5
2:2:40			7.6
2:2:50			8.8
2:3:0			8
2:3:10			7.3
2:3:20			8.4
2:3:30			8.4
2:3:40			8
2:3:50			8.9
2:4:0			8.7
2:4:10			8.3
2:4:20			8.3
2:4:30			8.8
2:4:40			9.6
2:4:50			8.5
2:5:0			8
2:5:10			8.1
2:5:20			9.5
2:5:30			8.3
2:5:40			9.1
2:5:50			8.8
2:6:0			9.4
2:6:10			8.9
2:6:20			8.7
2:6:30			9.5
2:6:40			9.7
2:6:50			9.3
2:7:0			10.5
2:7:10			10.7
2:7:20			10.7
2:7:30			10.4
2:7:40			12.1
2:7:50			11.7
2:8:0			11.6
