time			temp
0:16:0			26.3
0:16:10			24.8
0:16:20			25.5
0:16:30			24.3
0:16:40			25.5
0:16:50			24
0:17:0			23.2
0:17:10			23.6
0:17:20			23.4
0:17:30			23.3
0:17:40			23.1
0:17:50			24.1
0:18:0			23.4
0:18:10			23
0:18:20			23.6
0:18:30			22.6
0:18:40			22.2
0:18:50			22.8
0:19:0			21.4
0:19:10			21.6
0:19:20			22.1
0:19:30			22.1
0:19:40			21
0:19:50			21.2
0:20:0			20.4
0:20:10			19.7
0:20:20			19.5
0:20:30			18.4
0:20:40			19.2
0:20:50			18.1
0:21:0			17.5
0:21:10			17.6
0:21:20			16.5
0:21:30			16.9
0:21:40			16.3
0:21:50			15.4
0:22:0			15.7
0:22:10			15.8
0:22:20			15.6
0:22:30			15.5
0:22:40			15.5
0:22:50			15.3
0:23:0			15
0:23:10			14.8
0:23:20			15.2
0:23:30			14.1
0:23:40			14.2
0:23:50			14
1:0:0			14
1:0:10			13.8
1:0:20			12.1
1:0:30			12.9
1:0:40			12.4
1:0:50			11.4
1:1:0			11.8
1:1:10			11
1:1:20			10.1
1:1:30			10.5
1:1:40			10.9
1:1:50			10.2
1:2:0			11.1
1:2:10			10
1:2:20			8.7
1:2:30			9.8
1:2:40			9.8
1:2:50			10.5
1:3:0			10.5
1:3:10			10.3
1:3:20			10.6
1:3:30			9.7
1:3:40			9.9
1:3:50			9.6
1:4:0			10.2
1:4:10			8.6
1:4:20			8.7
1:4:30			10.4
1:4:40			9.3
1:4:50			9.1
1:5:0			10.5
1:5:10			11.3
1:5:20			10
1:5:30			10.5
1:5:40			10.6
1:5:50			11.1
1:6:0			11.4
1:6:10			11.2
1:6:20			11.6
1:6:30			12.5
1:6:40			11.3
1:6:50			12.2
1:7:0			11.2
1:7:10			11.4
1:7:20			11.9
1:7:30			11.7
1:7:40			11.9
1:7:50			12.4
1:8:0			13.3
1:8:10			12.7
1:8:20			14.2
1:8:30			14.1
1:8:40			14.7
1:8:50			14.3
1:9:0			15.1
1:9:10			15.5
1:9:20			15.6
1:9:30			15.1
1:9:40			16.5
1:9:50			16.5
1:10:0			16.6
1:10:10			17
1:10:20			17
1:10:30			17.4
1:10:40			18
1:10:50			17.6
1:11:0			18.9
1:11:10			18.4
1:11:20			18.1
1:11:30			17.9
1:11:40			18.4
1:11:50			19.7
1:12:0			19
1:12:10			20.5
1:12:20			20.4
1:12:30			20.8
1:12:40			20.6
1:12:50			21.6
1:13:0			21
1:13:10			22.4
1:13:20			22.7
1:13:30			22.5
1:13:40			22.5
1:13:50			23.1
1:14:0			21.9
1:14:10			23
1:14:20			22.1
1:14:30			23.1
1:14:40			23.3
1:14:50			22.4
1:15:0			23.7
1:15:10			22.9
1:15:20			23.5
1:15:30			23.7
1:15:40			22.8
1:15:50			22.5
1:16:0			22.5
1:16:10			23
1:16:20			22.6
1:16:30			23.1
1:16:40			22.3
1:16:50			23.6
1:17:0			22.1
1:17:10			22.4
1:17:20			22.3
1:17:30			22.8
1:17:40			21.9
1:17:50			21.7
1:18:0			22
1:18:10			22
1:18:20			20.7
1:18:30			21.3
1:18:40			20.2
1:18:50			20.1
1:19:0			18.6
1:19:10			18.4
1:19:20			18.7
1:19:30			18.6
1:19:40			17.9
1:19:50			16.5
1:20:0			17
1:20:10			17.5
1:20:20			18
1:20:30			16.8
1:20:40			16.6
1:20:50			16.4
1:21:0			16
1:21:10			15.9
1:21:20			15.8
1:21:30			15.8
1:21:40			14.2
1:21:50			14.2
1:22:0			13.8
1:22:10			13.7
1:22:20			13
1:22:30			13.7
1:22:40			12.5
1:22:50			13
1:23:0			11.5
1:23:10			11.8
1:23:20			11.9
1:23:30			11.6
1:23:40			11
1:23:50			12.2
2:0:0			10.8
2:0:10			11.6
2:0:20			11.7
2:0:30			10.3
2:0:40			10
2:0:50			8.9
2:1:0			9.1
2:1:10			9.6
2:1:20			8.9
2:1:30			10.1
2:1:40			8.5
2:1:50			7.5
2:2:0			7.8
2:2:10			9.8
2:2:20			8
2:2:30			9
2:2:40			8.3
2:2:50			8.1
2:3:0			8.5
2:3:10			8.3
2:3:20			9.9
2:3:30			9.2
2:3:40			8.4
2:3:50			8.5
2:4:0			8.8
2:4:10			9.2
2:4:20			8.4
2:4:30			8.8
2:4:40			8.8
2:4:50			9.2
2:5:0			9.6
2:5:10			8.9
2:5:20			9.6
2:5:30			10.3
2:5:40			10.4
2:5:50			10.9
2:6:0			10.3
2:6:10			11
2:6:20			10.3
2:6:30			11.2
2:6:40			11.8
2:6:50			11.1
2:7:0			11.5
2:7:10			12.5
2:7:20			10.9
2:7:30			13.5
2:7:40			11.7
2:7:50			13.2
2:8:0			12.5
2:8:10			13.4
2:8:20			14.7
2:8:30			15.4
2:8:40			15.8
2:8:50			17
2:9:0			16.9
2:9:10			17.5
2:9:20			19.2
2:9:30			18.4
2:9:40			18.5
2:9:50			18.5
2:10:0			19.1
2:10:10			19.7
2:10:20			20.6
2:10:30			21.7
2:10:40			21.1
2:10:50			21.8
2:11:0			21.2
2:11:10			22.2
2:11:20			21.5
2:11:30			22.1
2:11:40			22.1
2:11:50			22.2
2:12:0			23.2
2:12:10			23.7
2:12:20			23.5
2:12:30			23.3
2:12:40			24.2
2:12:50			22.7
2:13:0			23.9
2:13:10			23.8
2:13:20			24.5
2:13:30			23.8
2:13:40			25.2
2:13:50			24.4
2:14:0			26.2
2:14:10			25.8
2:14:20			25.5
2:14:30			26.1
2:14:40			25.8
2:14:50			25.8
2:15:0			26.1
2:15:10			25.5
2:15:20			25.3
2:15:30			26.4
2:15:40			24.5
2:15:50			25.6
2:16:0			25.6
2:16:10			24.9
2:16:20			25.6
2:16:30			25.1
2:16:40			25.8
2:16:50			24.8
2:17:0			25.6
2:17:10			24.4
2:17:20			23.9
2:17:30			25.2
2:17:40			23.5
2:17:50			24.4
2:18:0			23.8
2:18:10			23.9
2:18:20			23.9
2:18:30			23.2
2:18:40			23.2
2:18:50			23.2
2:19:0			22.6
2:19:10			23
2:19:20			22.4
2:19:30			21.5
2:19:40			22.1
2:19:50			22
2:20:0			21.1
2:20:10			19.5
2:20:20			19.7
2:20:30			19.2
2:20:40			20.3
2:20:50			19.2
2:21:0			19.4
2:21:10			18
2:21:20			18.1
2:21:30			18.7
2:21:40			18.6
2:21:50			18.2
2:22:0			18.2
2:22:10			16.5
2:22:20			17.8
2:22:30			16.5
2:22:40			16.4
2:22:50			16.3
2:23:0			15.2
2:23:10			14.5
2:23:20			14.3
2:23:30			13.1
2:23:40			13.5
2:23:50			12.7
3:0:0			12.7
3:0:10			12.8
3:0:20			12.5
3:0:30			11.1
3:0:40			12.4
3:0:50			12.1
3:1:0			11.3
3:1:10			10.3
3:1:20			11.4
3:1:30			11.5
3:1:40			11
3:1:50			10.7
3:2:0			11.6
3:2:10			11.1
3:2:20			10.9
3:2:30			11.2
3:2:40			11.4
3:2:50			10.2
3:3:0			11.2
3:3:10			10.8
3:3:20			10.3
3:3:30			11.1
3:3:40			10.5
3:3:50			10.8
3:4:0			11.4
3:4:10			11.7
3:4:20			10.7
3:4:30			11
3:4:40			12
3:4:50			11.8
3:5:0			11
3:5:10			12.1
3:5:20			11.4
3:5:30			12.3
3:5:40			12.9
3:5:50			12.6
3:6:0			12.5
3:6:10			14.1
3:6:20			14.5
3:6:30			13.6
3:6:40			13.6
3:6:50			14.4
3:7:0			14.9
3:7:10			14.8
3:7:20			15.3
3:7:30			14.9
3:7:40			14.6
3:7:50			16
3:8:0			15.9
3:8:10			16.4
3:8:20			16.5
3:8:30			17.6
3:8:40			17.6
3:8:50			17
3:9:0			17.8
3:9:10			18.2
3:9:20			19.5
3:9:30			18.9
3:9:40			18.8
3:9:50			18.8
3:10:0			19.6
3:10:10			19.2
3:10:20			20.1
3:10:30			19.8
3:10:40			20.5
3:10:50			20.5
3:11:0			21.3
3:11:10			22.2
3:11:20			22.2
3:11:30			22
3:11:40			23.4
3:11:50			23.1
3:12:0			23.3
3:12:10			23.3
3:12:20			23.9
3:12:30			24.1
3:12:40			23.4
3:12:50			23.7
3:13:0			23.3
3:13:10			24.3
3:13:20			25.9
3:13:30			24.1
3:13:40			25.3
3:13:50			25.8
3:14:0			24.7
3:14:10			25.4
3:14:20			26.2
3:14:30			25.2
3:14:40			27.1
3:14:50			26.7
3:15:0			25
3:15:10			26.3
3:15:20			26.3
3:15:30			25.8
3:15:40			26.3
3:15:50			26.8
3:16:0			25.8
3:16:10			25.7
3:16:20			24.6
3:16:30			25.4
3:16:40			25.1
3:16:50			25.2
3:17:0			25.5
3:17:10			25.4
3:17:20			24.3
3:17:30			24.6
3:17:40			24.2
3:17:50			25
3:18:0			24
3:18:10			22.4
3:18:20			23
3:18:30			23.1
3:18:40			22.5
3:18:50			22.2
3:19:0			22.2
3:19:10			22.5
3:19:20			22.4
3:19:30			21.1
3:19:40			21.3
3:19:50			20.7
3:20:0			20.1
3:20:10			19.6
3:20:20			19.6
3:20:30			19
3:20:40			19
3:20:50			18.6
3:21:0			18.4
3:21:10			17.9
3:21:20			17
3:21:30			18.1
3:21:40			16.9
3:21:50			16.3
3:22:0			16.1
3:22:10			16
3:22:20			16.7
3:22:30			14.4
3:22:40			14.8
3:22:50			15.5
3:23:0			14.7
3:23:10			15.6
3:23:20			14.1
3:23:30			13
3:23:40			12.9
3:23:50			13.5
4:0:0			13
4:0:10			11.5
4:0:20			13.1
4:0:30			12.1
4:0:40			11.5
4:0:50			11
4:1:0			11.5
4:1:10			11.3
4:1:20			11
4:1:30			10.5
4:1:40			10.8
4:1:50			10.1
4:2:0			10.9
4:2:10			11
4:2:20			10.2
4:2:30			10.8
4:2:40			10.4
4:2:50			9.7
4:3:0			10
4:3:10			10
4:3:20			10.1
4:3:30			10.9
4:3:40			10
4:3:50			10.4
4:4:0			10.6
4:4:10			10.3
4:4:20			10.5
4:4:30			10.9
4:4:40			12.1
4:4:50			11.3
4:5:0			11.2
4:5:10			11.5
4:5:20			12.7
4:5:30			10.6
4:5:40			11.5
4:5:50			10.4
4:6:0			12.5
4:6:10			11.8
4:6:20			14.4
4:6:30			13.3
4:6:40			12.5
4:6:50			14.1
4:7:0			14.4
4:7:10			14.4
4:7:20			14.4
4:7:30			14.5
4:7:40			14.1
4:7:50			15.5
4:8:0			15.6
4:8:10			15.2
4:8:20			14.6
4:8:30			16
4:8:40			16.4
4:8:50			16.8
4:9:0			17.4
4:9:10			18.5
4:9:20			17.3
4:9:30			18.1
4:9:40			18.9
4:9:50			19.3
4:10:0			18.9
4:10:10			20.6
4:10:20			20.2
4:10:30			21
4:10:40			22.1
4:10:50			20.5
4:11:0			20.4
4:11:10			22.7
4:11:20			23.6
4:11:30			22.7
4:11:40			23.1
4:11:50			22.7
4:12:0			23.4
4:12:10			24
4:12:20			23.9
4:12:30			23.4
4:12:40			23.7
4:12:50			24.4
4:13:0			24.2
4:13:10			24.9
4:13:20			24.9
4:13:30			24.8
4:13:40			26.1
4:13:50			24.8
4:14:0			25.2
4:14:10			25.4
4:14:20			24.8
4:14:30			24.8
4:14:40			26.2
4:14:50			24.5
4:15:0			24.5
4:15:10			24.7
4:15:20			23.5
4:15:30			24.5
4:15:40			23.9
4:15:50			25
4:16:0			24.1
4:16:10			24.5
4:16:20			23.9
4:16:30			23.1
4:16:40			23.3
4:16:50			22.3
4:17:0			22.7
4:17:10			23.1
4:17:20			22.6
4:17:30			23.2
4:17:40			22.6
4:17:50			21.7
4:18:0			21.5
4:18:10			21.4
4:18:20			21.6
4:18:30			21.8
4:18:40			21.7
4:18:50			21.8
4:19:0			20.5
4:19:10			20.5
4:19:20			19.7
4:19:30			19.7
